t,x,y,z,n_markers,reproj_err,x_kal,y_kal,z_kal
0.0745,0.05957889046970389,0.5200910129021808,0.5126529217748601,1,0.3967,0.05957889046970389,0.5200910129021808,0.5126529217748601
0.1388,0.0636879699237465,0.5169460318950778,0.5123245873881331,1,0.3658,0.06368742020564358,0.516946452634811,0.5123246313131432
0.2072,0.06337978292415779,0.5193471514554764,0.5123429624712998,1,0.4774,0.0635684195997755,0.5178750937045351,0.5123317221927544
0.2741,0.06358489011699993,0.5203762695666287,0.5120857617758954,1,0.4247,0.06357422356653154,0.5187564710988696,0.5122450493783369
0.334,0.06318019442262816,0.5187039394958325,0.512387098123943,1,0.4172,0.06345717201148522,0.5187408658932149,0.5122872468320604
0.4055,0.06171696179776442,0.5198780715246227,0.5123732656547898,1,0.4215,0.06300843935120311,0.5190341070799669,0.5123094277472472
0.4748,0.06313892886506638,0.5172711196185072,0.5120754790158277,1,0.4698,0.06303476915418106,0.5186783764841623,0.5122622222376024
0.5336,0.06321562610912124,0.5193412846798662,0.5120876654035933,1,0.4081,0.06307939050079345,0.5188419303623224,0.5122191552679276
0.6099,0.06566657330794877,0.5199469446999899,0.5119582440456557,1,0.442,0.06361573834213621,0.5190710104462738,0.5121650658659492
0.6732,0.0655609071921135,0.5197176098032869,0.5118729976925092,1,0.4318,0.0640302123849968,0.519208786994369,0.5121028323602883
0.7382,0.06390950044914571,0.5190682436009251,0.5121388384717747,1,0.4381,0.06400537219611796,0.5191798658738997,0.5121102417237767
0.8057,0.06274489345043217,0.5202020048433684,0.5122817865131272,1,0.3806,0.06368434905545106,0.5194401878057847,0.5121539313514128
0.8685,0.06250395011820696,0.519093823222675,0.5122070119541375,1,0.4189,0.06343543557312349,0.5193671490967378,0.5121651245821515
0.9416,0.0617827988990914,0.5185350456533504,0.5124978508457008,1,0.4048,0.06306697766375666,0.5191816303436174,0.5122393064185982
1.0047,0.06228454386251636,0.5190682895780255,0.5122861264478926,1,0.3747,0.06287222876086583,0.519153419663408,0.5122509599914934
1.068,0.06317675821817816,0.5173987404178267,0.5121958137308695,1,0.405,0.06293772277131035,0.5187760473663201,0.5122390998916491
1.1408,0.06532151171627809,0.5193628187886378,0.5120187129839169,1,0.4177,0.06342887152270982,0.5188969439968866,0.5121936920317016
1.2045,0.06365875298838106,0.519971542165038,0.5122956994838831,1,0.4586,0.06347009617896766,0.5190896517472396,0.5122119850338783
1.2756,0.06257184660664193,0.5170777084476311,0.5125403185165412,1,0.3479,0.0632161466558295,0.5185208431919583,0.512304810161684
1.3426,0.06565183006905956,0.5184735656682368,0.5121693357149115,1,0.4282,0.06368945361967003,0.5185116561272154,0.5122784844911427
1.406,0.06241971698167899,0.5202832514058816,0.5122556111240245,1,0.3877,0.06339380732697325,0.5189241555075006,0.512273158641681
1.4863,0.061195393315073364,0.5210522159030944,0.5123250429159141,1,0.3989,0.06290918466252263,0.5193932692838148,0.5122845961120964
1.5378,0.062278104482121295,0.5189768201684394,0.5122739856613296,1,0.4118,0.06277662578137122,0.5193057938242693,0.5122823673786869
1.6045,0.06222685755846515,0.519856023455115,0.512159839048929,1,0.3737,0.06264125023885093,0.5194412829843971,0.5122521958656311
1.6753,0.06272492673532454,0.5175502304963038,0.5124191357564536,1,0.4164,0.06265830562783845,0.5190558385987037,0.5122862224429318
1.7363,0.06524735503020136,0.520598790244743,0.5121626947280066,1,0.4753,0.0630910330720732,0.5193137237984836,0.5122655763199482
1.8049,0.06377750110229616,0.5174320835337638,0.5120810369588256,1,0.3891,0.06325564945544843,0.5188625027633382,0.5122213234183112
1.8719,0.06149129735712278,0.5177914596019862,0.5127663502655493,1,0.4201,0.06288894023027929,0.5186398933373655,0.5123346037397599
1.9376,0.06425565700553766,0.5197576112963305,0.5121948240169988,1,0.4912,0.0631105174280244,0.5188211019225678,0.5123119421321528
