t,x,y,z,n_markers,reproj_err,x_kal,y_kal,z_kal
0.0612,0.00819280693492773,1.0150833152538585,0.47881161108031156,1,0.1154,0.00819280693492773,1.0150833152538585,0.47881161108031156
0.1363,0.007768215488987889,1.0137498089909271,0.4788686530052697,1,0.1274,0.007768222385430571,1.0137498306504533,0.47886865207876406
0.2037,0.007618508963041392,1.0130329689126352,0.478876153188511,1,0.1592,0.007692064656309621,1.0133851702133683,0.47887246781869636
0.2716,0.007305079772783045,1.013919736381915,0.4788577494096216,1,0.1314,0.007471473821855332,1.0136898859844758,0.4788640779660746
0.3337,0.007907431849487886,1.0127330820183662,0.47884863217962037,1,0.1256,0.007714289709358809,1.0131569741226174,0.4788554751141752
0.4012,0.008624620026335777,1.013807967611392,0.4788243609483747,1,0.1305,0.008191853996471248,1.0134984888844392,0.47883915245180475
0.4708,0.008505306765435879,1.0131049053606476,0.47886031367512827,1,0.1321,0.00835501073602871,1.0132936229178775,0.4788501671772893
0.5343,0.007857110938626065,1.013061785713137,0.4789690888274134,1,0.1393,0.008108150954696925,1.0131786775373706,0.47890912878502323
0.6014,0.008292507026742255,1.0152602116564204,0.47891732529056696,1,0.1201,0.008214368668371259,1.0143779642904873,0.478913851244497
0.669,0.0076920574760181515,1.0127950147731315,0.4789255339018542,1,0.1517,0.007982874765334241,1.0136763841454546,0.47891902912310474
0.7353,0.009398683400447775,1.0137572900990732,0.4789429799114161,1,0.1465,0.008669345930232303,1.0137156123312774,0.47893064193937424
0.8014,0.007828183730291505,1.0135156052426535,0.47886839849424895,1,0.1407,0.008242297337944189,1.0136140709809285,0.4788990416420454
0.8679,0.007896485962606201,1.013780215319747,0.4788633439069165,1,0.1628,0.008093379671268691,1.013685618156738,0.47888366903200386
0.935,0.008898040174187506,1.0123111252425396,0.4787629353130242,1,0.1438,0.008502692194300004,1.012986444827665,0.4788222545311662
1.0002,0.008163631699257679,1.0119905500907482,0.4788301569965118,1,0.1357,0.008323994767106114,1.0124615714500669,0.47882641942281945
1.066,0.007740596968035167,1.0118995006230433,0.4790060001849876,1,0.144,0.008039636982011841,1.012187608785667,0.4789139500714729
1.1352,0.009219223528324326,1.0128992434483386,0.47896405702843453,1,0.1517,0.008589750810626285,1.0125194878411554,0.47893731803037387
1.2022,0.008571982671175279,1.0149878138628274,0.47883485676012405,1,0.166,0.008582123343443592,1.013579085317774,0.4788933336853341
