t,x,y,z,n_markers,reproj_err,x_kal,y_kal,z_kal
0.0697,0.205677005847253,0.5059051974345691,1.0468218085038132,2,0.1548,0.205677005847253,0.5059051974345691,1.0468218085038132
0.1333,0.07161069663530233,0.46900475666255836,1.0459679101482722,1,0.1962,0.07161585575419047,0.4690061766595888,1.0459679430078561
0.2031,0.2537494449050957,0.5345907820814938,1.0477047638203363,2,0.0681,0.22260603763281228,0.523376331814695,1.047407781159564
0.2693,0.22994236840723858,0.5312071294446714,1.0468598853852868,2,0.1126,0.22693941205639678,0.5280017745883899,1.047084153775788
0.3351,0.2080558411896972,0.5047283681818173,1.0472368217526133,2,0.1668,0.21965399518922285,0.5190227277339603,1.047143054174515
0.4008,0.13346880248656876,0.5017114097081418,1.04797423228019,2,0.1194,0.1685703635426312,0.50876197451619,1.047635709523439
0.4681,0.0704480103694817,0.5578830048666916,1.0454633872774524,2,0.0981,0.10494097349913847,0.5406154829007157,1.0462270239893066
0.5368,0.16781903977756102,0.5108117844190965,1.0450431671697935,2,0.1408,0.1334825143307156,0.5270870217457794,1.045689649038823
0.6015,0.17900426234485667,0.5020258897799901,1.0469308994426012,2,0.119,0.1595746349494279,0.5127225013435814,1.0464011079934163
0.6689,0.13608927838428822,0.5207552067735587,1.046417726465156,2,0.1106,0.1455558724291205,0.5175173440152735,1.046411027809116
0.7357,0.05300908662651458,0.4791458534895467,1.0475601899402336,1,0.1348,0.10040747673723588,0.498798041961521,1.0469716396786681
0.8003,0.15102277335604597,0.4969472816880243,1.0472601150067107,2,0.127,0.12768252031050284,0.4978007235523559,1.0471270902572043
0.8691,0.2122701941334343,0.5134941788220241,1.04662704602482,2,0.0745,0.18279412612893148,0.508025517327411,1.0468012952638979
0.9229,0.22329760030653073,0.5133259941573661,1.045879742909165,2,0.1226,0.2039968691961082,0.5108002088974792,1.0463188813920736
0.952,0.10547602449693144,0.5475708149087324,1.046842518067114,2,0.0989,0.14082630778818375,0.5343771466727587,1.0466546318907328
0.9887,0.1724728457332267,0.5588919530901492,1.0459271471081095,2,0.0834,0.16049092082196897,0.549610224699597,1.0462025853900034
1.0294,0.2167851642758146,0.5146924603015117,1.0456844832292127,2,0.1179,0.19079714076586177,0.5308121135096844,1.0459236631223794
1.1012,0.23175229522554927,0.5161336229507139,1.045716564618781,2,0.1398,0.21012952452399059,0.5238833101338991,1.04582590478646
1.1682,0.09985830072026214,0.5168448232226016,1.0475157224853473,2,0.0856,0.13758179428898634,0.5192526709508944,1.0469376403266715
1.2344,0.0509108165962265,0.5499900268876021,1.046840602884083,2,0.0974,0.0835196022225515,0.5384255115545314,1.0468771119122182
1.3037,0.20848989501330215,0.5180433244290145,1.0463215646323039,2,0.14,0.14014548576178903,0.5291900418387248,1.0466253852428598
1.4345,0.216819522635488,0.5296152885500847,1.048294494403783,2,0.1038,0.1889684412133132,0.5294608219109783,1.047688207099256
1.6345,0.19459518288287755,0.5151791232485076,1.0469836737157943,2,0.0991,0.19250018767691413,0.520496603948347,1.0472459914384609
1.7037,0.16408102335498317,0.5322343604623896,1.0477126642315526,2,0.1045,0.17549313094595997,0.5275209023642718,1.0475252653318448
1.7684,0.17779258853497223,0.51827886667015,1.0468818990115922,2,0.0887,0.17692605046102083,0.5217616775069502,1.0471243481068313
1.8335,0.15278605336315743,0.502797426739905,1.0449312460745528,2,0.1934,0.16962148783176179,0.5160232527307055,1.0464607336464737
1.9044,0.20608066976214537,0.5149139160714882,1.0463126232951792,2,0.1411,0.18847759710155118,0.515449521446687,1.0463841333274284
2.0996,0.16818741805893334,0.5001604741791317,1.046664463739889,2,0.1822,0.18077956827536099,0.5096489059694448,1.0464904897864546
2.1707,0.1910089327417749,0.5061267331793343,1.0472903052324107,2,0.1262,0.18677831232994263,0.5075834195794294,1.0469595206990734
2.2359,0.14354819022573792,0.5115797047138915,1.0472478864501038,2,0.1086,0.15992446956426964,0.5100658463555777,1.0471386487736718
