t,x,y,z,n_markers,reproj_err,x_kal,y_kal,z_kal
0.844,-0.09863517409992661,0.9743863042904162,0.3288536692000235,1,2.7381,-0.09863517409992661,0.9743863042904162,0.3288536692000235
0.9158,-0.06521312446776326,0.9677772861114718,0.3118266563527838,1,0.3686,-0.065217664494855,0.9677781838757297,0.31182896928991566
1.7138,-0.148262157597761,0.9276175915952913,0.4054044611326594,1,2.3431,-0.06736657242481278,0.9667389648739797,0.3142503835096568
1.7853,-0.13837185714914246,0.9116281703870928,0.40503215317656766,1,2.8019,-0.06871580332462937,0.9656917584987946,0.31597540396764334
1.8485,-0.0960570920541883,0.8820697077833509,0.4061999308798471,1,2.7442,-0.06928174292055084,0.9639608587573768,0.31784296890973385
1.9184,-0.06889130507928166,0.8772054015186249,0.40862220740336214,1,1.415,-0.06925187013049341,0.9573231118832395,0.32478857931542127
1.986,-0.06843146394158167,0.8599293650512647,0.40355310270183214,1,1.5253,-0.0691980953707596,0.9509392920068779,0.32995131867294686
2.049,-0.06543036712661307,0.8651566106283305,0.4074143430144675,1,1.9353,-0.0690414315490171,0.9473724098345868,0.33317226579298653
2.1825,-0.0780962212509876,0.9013771610299636,0.41548488555460544,1,1.3801,-0.06976629864606435,0.9436903317768581,0.33976167445964767
2.2515,-0.07804470980562223,0.9247381441661554,0.4178675992311541,1,1.385,-0.07041275127556687,0.9422103749011214,0.34586088594782927
2.3166,-0.08696237461992709,0.9427838292862816,0.4168396947012649,1,1.3699,-0.07171135547829262,0.9422553723164186,0.35143040118293517
2.385,-0.09197854022571106,0.9604197717389418,0.416754982607714,1,1.4767,-0.07307455073068961,0.9434771316956329,0.3558242111951729
2.4546,-0.09306576114663338,0.9721326954594107,0.4180492850022247,1,1.3987,-0.07455682464223605,0.9456018351880151,0.36043796902319736
2.5187,-0.09964460515959327,0.9819132670866842,0.41598437646526704,1,1.7716,-0.07573789434993523,0.9473112862185289,0.3630529544004792
2.5878,-0.10153236675876984,0.9893087676489711,0.41681134340200277,1,1.4115,-0.07763052620489512,0.95039279026806,0.36699739791857033
2.6569,-0.11519387495980415,0.986827846318941,0.4147634418286622,1,1.322,-0.08071211359834114,0.953381815824287,0.3709159846161659
2.7223,-0.1035931583760514,1.003645977006867,0.4203828204681203,1,0.7644,-0.08546957492457849,0.9638328159969206,0.3812012037039874
2.7864,-0.09614693198291495,1.0064308884865818,0.4182635450726596,1,1.3515,-0.08618656059386937,0.966693281123977,0.3836899438937666
2.8545,-0.09336555939727295,0.9917254132817851,0.4152177557695331,1,1.4095,-0.08663590645109295,0.9682600852411823,0.3856633237537805
2.9202,-0.10098017058427916,0.9969794472706017,0.41170457110389647,1,1.739,-0.0872460175471107,0.9694816188996543,0.3867709479452293
2.9875,-0.10146290849297562,0.9930929207618924,0.40978178390042086,1,1.6667,-0.08792178381374029,0.9706039262571817,0.3878647135768767
3.0619,-0.09694167504286079,0.9877943847446001,0.4119693274454764,1,1.1757,-0.08876227307566632,0.9722057632859492,0.3901108237133297
3.1219,-0.09211137479501862,1.0043904941112307,0.41565728090661364,1,1.057,-0.08913235224010913,0.9757622089510095,0.3929337333544238
3.1902,-0.07235141105468221,1.007812552546122,0.4214801461867444,1,0.4041,-0.08158450359630239,0.9901780357967643,0.40577353780884223
3.2536,-0.06991522456960654,1.007734794973798,0.4245164690243598,1,1.0211,-0.08071980615151712,0.9914789974726623,0.4071623952260629
3.9574,-0.11972711297769148,0.9831186693429649,0.38331704142813466,1,1.5468,-0.08209226985747123,0.9911848411244938,0.4063234015783053
4.0243,-0.07917236135628809,0.9582042200816677,0.3891446673787816,1,0.9795,-0.08183124122448462,0.9882364999616218,0.4047876885575976
4.0937,-0.08736200994915637,0.9438201091667477,0.3828359436258081,1,0.5795,-0.08305852873419543,0.9783804231009466,0.3999165569460074
4.1603,-0.10407077108488501,0.9485667257679079,0.37928031275566143,1,0.9669,-0.08480062482607695,0.9759086104908697,0.3982056343440732
