t,x,y,z,n_markers,reproj_err,x_kal,y_kal,z_kal
0.0734,0.11490966632577583,1.399757754197463,0.4848331673034494,1,0.2974,0.11490966632577583,1.399757754197463,0.4848331673034494
0.1283,0.3674698772000224,0.3107504488353997,0.43242807257011817,1,2.3979,0.3660259368109745,0.3169765349902116,0.43272768363163655
0.2045,0.37030907971247307,0.325437505947897,0.43416549219498823,1,2.1612,0.3683851231673045,0.3216368995177859,0.4335196390773647
0.2746,0.3672247289502082,0.33850253220762905,0.4343346048002289,1,1.9306,0.36791017853612407,0.3285399343480921,0.4338532012314738
0.3403,0.3625649546470273,0.33804235306295566,0.43363269478569233,1,2.4159,0.3667967839770285,0.3305192604745352,0.4338072703814154
0.41,0.362505888904657,0.33640526247668295,0.4327080765846768,1,2.3631,0.36602444715808535,0.3315787075097011,0.4336094217213908
0.4773,0.36342830767649553,0.33418221173310464,0.43287801637741197,1,2.2672,0.3655963047487135,0.33200806447565856,0.4334888019902788
0.542,0.36439663728039556,0.3363449351240062,0.43401270516103363,1,2.3138,0.36543065024453375,0.33260691555390864,0.43356114447040894
0.6092,0.36008503159838434,0.3353558842109692,0.43264869959114455,1,2.633,0.3649092710334725,0.3328750332788202,0.43347215013265716
0.6741,0.3586050499958007,0.3333556631743675,0.43192302309336594,1,2.8058,0.36440384524895547,0.3329135666266466,0.4333479525919187
0.7427,0.12589942319940484,1.4172378198110671,0.4768836064045144,1,0.4628,0.1856172373775582,1.1457398169477104,0.4659829528142641
0.8044,0.12765715146850068,1.4166210337782896,0.4764172017504667,1,0.5772,0.16599556390934284,1.2374433177613948,0.469515339323033
0.8722,0.3590246257565731,0.32890259357248897,0.4304278580040104,1,2.8319,0.16890674080076304,1.2237411180207869,0.4689258396317906
0.9403,0.3572271769725639,0.3290944840521595,0.42966034226664884,1,2.9938,0.17161865879707383,1.2108577137747123,0.4683603948446859
1.0158,0.12397932280873288,1.4160354413363834,0.47796701404874137,1,0.4816,0.1537596941505172,1.2877744403991447,0.4719617102110492
1.0587,0.12447693070036167,1.4145746265793928,0.47752435021930517,1,0.5196,0.14602453389630882,1.3212692217928887,0.4734311040397284
1.1224,0.12570495110715696,1.4155753128863913,0.4772746736797013,1,0.4962,0.14097871145864485,1.344687605693075,0.4743855512905082
1.2067,0.35614615468285643,0.3303416990625172,0.4303565594507985,1,2.9367,0.1427389317569959,1.3363895461556017,0.47402536331787226
1.2742,0.1255340835234177,1.4139527514193626,0.4768019321054971,1,0.5566,0.13918883838366897,1.3523941407490878,0.47459828778193675
1.3387,0.3575147332793626,0.3299920537923574,0.4310111528768166,1,2.8791,0.14111882856031352,1.3433561565679164,0.474212979652385
1.5332,0.3562438833549805,0.33057639240571873,0.4301331410103846,1,2.9927,0.14310064162907463,1.3340260477421024,0.47380689956853345
1.6092,0.3555389873699181,0.33068717778124457,0.43034514794919126,1,2.8945,0.1454207614146282,1.3230682032169385,0.4733322372871303
