t,x,y,z,n_markers
1.0856,-0.008185340254941574,1.1221541959165862,0.4534753501013119,1
1.151,0.008558174929324317,1.0694279351013933,0.4634604924338507,1
1.2173,0.003087451467704248,1.0875063865094192,0.4449301092584161,1
1.2893,0.03418612187211955,1.0191314402701963,0.4447865709536159,1
1.3487,-0.009685010080374791,1.0976264163149612,0.4201870699488006,1
1.4192,-0.07776257532351416,1.0584944096752804,0.41322245268412994,1
1.4891,0.00879694124066175,1.0383723541505427,0.4178165002923422,1
1.5528,0.004615804920775794,1.07494124929937,0.40339546662054265,1
1.6223,0.021358614432470533,1.0523372129230482,0.38954269953545256,1
1.7556,0.07126105872611013,1.0544858440612357,0.3827130551753095,1
1.8189,0.1007245786405089,1.0677982910520614,0.3726677261367448,1
1.8911,-0.004354879957671789,1.022092936070635,0.41487081332610753,1
1.9559,-0.0063073822735098305,1.0229010039672939,0.4114991273629589,1
2.0228,-0.0037018544267640144,1.0256090823484005,0.41252718682921113,1
2.0943,-0.0016025194608671875,1.0328194704295794,0.4084760474569149,1
2.1541,-0.004539188905319699,1.0377685080114663,0.40224399799568406,1
2.2209,0.0003777347006799817,1.0385752852699421,0.39651649595784694,1
2.2867,-0.004775877945221871,1.0361452891953877,0.39592551990599806,1
2.3577,-0.006534048269801481,1.0324257041140914,0.3964515394621429,1
2.4193,-0.007182421193229342,1.0349845539784306,0.3985246592777557,1
2.4907,-0.008896366501913031,1.0322518499902764,0.39867951796721457,1
2.5553,-0.008871842938768523,1.030339683499731,0.39966714354687444,1
2.6235,-0.007663558341188134,1.030172027993523,0.40092849037724915,1
2.6893,-0.008396687766707283,1.032057640912068,0.40162658511977634,1
2.7585,-0.012348489001416002,1.0336347535973656,0.4003729700123824,1
2.821,-0.009033394620599013,1.0334969858463021,0.39735720905152583,1
2.8911,-0.008260795367881645,1.034652913357826,0.3976270126282315,1
2.9607,-0.008309846084211774,1.0346257080741472,0.39703460318202854,1
3.0267,-0.011401977297090566,1.0344922322707797,0.39714989437079073,1
3.0964,-0.009499323293421097,1.0332319325977302,0.39685319457643975,1
3.1647,-0.010081081280988145,1.0333532589160868,0.39659947134096046,1
3.2264,-0.010257193814939683,1.0348634509289913,0.3960225345516166,1
3.2949,-0.010336881500635223,1.0339974220214725,0.39611579792904933,1
3.3601,-0.0110299162047371,1.032665197104215,0.39649805716563713,1
3.4272,-0.01194846549587257,1.031743597160406,0.3967180342412906,1
3.4951,-0.010502299281027704,1.03436353364064,0.39620265188607406,1
3.564,-0.009653619547774984,1.033144206529786,0.395956030056551,1
3.6284,-0.010434518083497463,1.0323590543246353,0.3956125772280407,1
3.695,-0.010442635204869875,1.033677134616797,0.39584063554476767,1
3.7598,-0.01266263302996727,1.0323111860342484,0.39571230680718333,1
3.8257,-0.010268629138230085,1.0339150833180237,0.3955028652865918,1
3.8958,-0.010550053648072415,1.034047003602508,0.39551446563238757,1
3.9583,-0.00940894812476355,1.0343034539658933,0.39495604409310264,1
4.0294,-0.011528834112595619,1.0333495183943286,0.3952488822496594,1
4.0934,-0.010371030551129505,1.0342299330271523,0.395284325734479,1
4.1623,-0.009441897458661882,1.0344585573725267,0.39497297451610797,1
4.2311,-0.009103442360997789,1.03446386991708,0.3953953024929666,1
4.2975,-0.009923572923954262,1.034472651394484,0.39517151894362357,1
4.3521,-0.009550247325697574,1.0335169064607534,0.39547740455041275,1
4.4163,-0.011271340919176519,1.0333103781034632,0.3954721618617731,1
4.4488,-0.010781639945983326,1.0330869996890761,0.3953382742778949,1
4.4939,-0.011317436690059964,1.0329535497805271,0.3952340915871945,1
4.5678,-0.010708984850523594,1.0330234365146496,0.39517580178997835,1
4.6305,-0.011928118271794262,1.030844579514619,0.3955842423635139,1
4.7001,-0.010340580495766416,1.0340735543971795,0.3950441131983349,1
4.7681,-0.011046207970900508,1.0317309891372757,0.395655339507204,1
4.8358,-0.011961379688220565,1.0318528828344415,0.395218850392395,1
4.9033,-0.010729227723146701,1.031514879185372,0.39547647924956697,1
4.9775,-0.012778363429827175,1.0317303722893638,0.3949122452533804,1
5.0449,-0.012492583413168758,1.0310775804957788,0.3950572149274957,1
5.0932,-0.009510014621782175,1.0329361603773106,0.395198415775201,1
5.1654,-0.012823646159154555,1.0315338771896136,0.39521803444983833,1
5.2324,-0.012544248335501728,1.0322887597612935,0.39507436435145105,1
5.3009,-0.010784217682653783,1.0319013155301269,0.3952909227412522,1
5.3653,-0.011087978736994198,1.0332443049905427,0.3951538155506133,1
5.4333,-0.011251530933625613,1.031060740862586,0.39503049869942336,1
5.4952,-0.011056758558954927,1.0317622774840451,0.39475958346475915,1
5.5676,-0.009176690945739602,1.0336540614374967,0.39496906566620604,1
5.628,-0.015323571056551862,1.0310326453514391,0.394801992765352,1
5.6993,-0.012471415445070591,1.0318532045287545,0.39462559520336155,1
5.7612,-0.00937181905919092,1.0338246451983637,0.3947639815625721,1
5.8326,-0.011083907452465142,1.0326126550924395,0.3947941774003267,1
