t,x,y,z,n_markers,reproj_err,x_kal,y_kal,z_kal
0.0685,0.43340081714340234,0.41127000133309877,0.42853268379732334,1,0.8379,0.43340081714340234,0.41127000133309877,0.42853268379732334
0.1358,0.4347147742946669,0.41017202519816753,0.42770014942056556,1,0.9577,0.43471357023961193,0.4101730313373055,0.42770091232004354
0.2051,0.4346786876533406,0.4142435757649988,0.42860703564751523,1,0.861,0.43469419329815806,0.4124341796491698,0.4282042551206562
0.269,0.4360750959794926,0.4128235102042476,0.42752652756214865,1,0.9156,0.43515643110253655,0.41256450259182836,0.4279773953260843
0.3395,0.43657833974510873,0.4146205582137372,0.4283487313887016,1,0.9028,0.43553016837628494,0.4131049203091138,0.42807499802961385
0.4008,0.43738857855661006,0.4106901139353476,0.4274718834803825,1,0.8867,0.4359425574876935,0.41256906451944797,0.42794116434980073
0.469,0.4406447104669617,0.41811424787082224,0.4313564584517484,1,0.7862,0.4370233281065956,0.4138436022193089,0.4287261557221719
0.5348,0.43817925225836074,0.42472851934512473,0.43493823899384654,1,0.6433,0.43733391999815846,0.41676833304567795,0.43039531601348435
0.6035,0.43578595072145854,0.42907403938934835,0.4376020130361753,1,0.6953,0.43702360501358445,0.4192352069892935,0.43184001269389494
0.6712,0.4296780989850355,0.4321552930503877,0.43812995608137245,1,0.6381,0.43549606048561107,0.42192202076180474,0.4331480462814328
0.738,0.4306169633690203,0.4351577851323978,0.44027151281618987,1,0.3927,0.4336398772356374,0.4269573794640844,0.435858068022669
0.8077,0.4277323504216608,0.4349781645892399,0.44104935214099794,1,0.3358,0.43140400737230183,0.42999307143914184,0.43782285567030577
0.8716,0.4242855846378284,0.43275224119512895,0.440190006211069,1,0.4372,0.42986594522627203,0.430589239258117,0.43833432074852735
0.9387,0.42151060924735884,0.43390488178969233,0.4402148972713684,1,0.3915,0.42777059204005446,0.43142073689752114,0.43880593218569824
1.0077,0.42159253595114543,0.430869435556704,0.4398744755392876,1,0.4104,0.4263910330354855,0.43129763139022076,0.4390445377574189
1.0693,0.41958729737928646,0.4286415302814519,0.438916283205669,1,0.471,0.4251887026022887,0.4308282552477466,0.43902187309809687
1.1205,0.42129837378545554,0.42875788409427845,0.4396184585184148,1,0.3486,0.42406764420706494,0.430231645790782,0.4391937884105048
1.1546,0.41954371837159743,0.42878904049453426,0.4384369396199511,1,0.3855,0.4230155676719405,0.4298961559448324,0.4390177769368117
1.2031,0.42120141279277346,0.42508899096825864,0.43779295901525667,1,0.2101,0.42210450417521356,0.4274820111641446,0.4384026768087686
1.2764,0.4134996255451779,0.42877716358262935,0.4337125947274953,1,0.6351,0.4214686993683465,0.42757770852011007,0.4380561319171921
1.3404,0.41948918276674246,0.4270454469267979,0.4327855269312076,1,0.6173,0.42128151526913044,0.4275273775924428,0.43755774082220167
1.4135,0.42168197432831983,0.4221715287135759,0.4282089563083812,1,0.6699,0.42131877560260056,0.42702904771161493,0.43668789203109026
1.4722,0.42463830514516226,0.42030588238479877,0.4253575797884783,1,0.9333,0.4215049622028884,0.42665195713919396,0.43605239465424706
1.5389,0.4275840490108328,0.41481792403089485,0.4199928701163085,1,0.9886,0.42185024857236203,0.42597979527388624,0.43514022888028064
1.6086,0.4313866462607606,0.4116460676258269,0.41629526983163084,1,1.1225,0.4223215102429913,0.425271463191009,0.43420896456283187
1.6738,0.43181292223579437,0.40676347697259635,0.4108482682445495,1,1.4851,0.4226226711495903,0.4246842079003226,0.4334677335966351
