t,x,y,z,n_markers
0.1588,0.02247649799002183,1.0334764308697357,0.4860081236980065,1
0.334,0.02369300332194801,1.0354052977821862,0.4867768513637596,1
0.4359,0.022756376390424313,1.0359310651291007,0.48664258522342685,1
0.5639,0.025568099772234985,1.0395369807821122,0.485731642308049,1
0.646,0.02475674933869602,1.0348294208186042,0.4850661945852743,1
0.6912,0.023682418608899636,1.037331280784174,0.48464355510921603,1
0.8181,0.026285538194166534,1.0385068923112455,0.4845862422365433,1
0.8863,0.02509997031277243,1.0363582951138792,0.48484389168038505,1
0.954,0.022485908578751643,1.0366839604461275,0.4854859445662671,1
1.0162,0.022411851016777458,1.033176024387524,0.48543688886089553,1
1.0822,0.022810988904019683,1.03674040362553,0.48545865077590444,1
1.1166,0.02660834374987295,1.035322117345895,0.48518433334872274,1
1.1825,0.027044757151955694,1.0345652689610327,0.48508636801514726,1
1.2171,0.02338797920093838,1.0338936506769127,0.4852332684926411,1
1.2828,0.027964457794235335,1.034241915783972,0.4844881851022306,1
1.315,0.02344948521025962,1.0385195358459103,0.48453931545228324,1
1.3477,0.018634875966647455,1.040043201577815,0.48459221467448704,1
1.3825,0.024131317875578404,1.0368402495188418,0.48424408753539766,1
1.4165,0.02710154429231342,1.0355396867009625,0.484202374394437,1
1.4491,0.02140619716961178,1.0338621446093315,0.48438816752788466,1
1.4855,0.023041829572992924,1.0321951902134874,0.4848168626510369,1
1.5637,0.020107920673147997,1.0390516666614948,0.4849864179634439,1
1.6174,0.019632282254183803,1.0391743981390755,0.48428790361792484,1
1.652,0.022949519879424965,1.0369116136946492,0.4847608256707727,1
1.7307,0.019312065436723435,1.02836725240683,0.4859677634107393,1
1.7851,0.019280881871787687,1.0330121451006333,0.485651848387648,1
1.8213,0.019776279724269694,1.0379804979538791,0.4849063145468849,1
1.8852,0.02538412137613094,1.0333517636582044,0.4855627892118687,1
1.918,0.01595313723606261,1.0308497289333545,0.4864275745497956,1
1.9508,0.019851409279290876,1.0304900190237665,0.4868945056917417,1
1.984,0.01270064192058272,1.0333882062407387,0.48715838876515316,1
2.0171,0.017952113330181308,1.0317540709078494,0.4869205828609432,1
2.0511,0.01430429707788495,1.0321598336548696,0.48791269345010796,1
2.0839,0.009704063316901611,1.0313100934714257,0.4879426141843694,1
2.1225,0.015104086581122642,1.0285172441262083,0.4884390404012899,1
2.1875,0.01300046846633553,1.0297582026485261,0.488331723830337,1
2.2561,0.011165864910036603,1.0288324724490516,0.48793743071803575,1
2.3192,0.020622650948969378,1.0314470486637133,0.4874044040155238,1
2.3534,0.015848976819400742,1.0297337608330468,0.48830970230909276,1
2.3865,0.013245738645008505,1.0288304375365211,0.4886686997737001,1
2.4206,0.01589019220630705,1.0312714090475648,0.488093712138911,1
2.4522,0.015872715278720854,1.0327621120545298,0.487508505291472,1
2.489,0.020208075268233323,1.035845412911432,0.48733953074774605,1
2.557,0.02046817229889195,1.0258173691853398,0.48866857134293923,1
2.6219,0.021364146915675654,1.0293983627905885,0.48879682686086634,1
