t,x,y,z,n_markers,reproj_err,x_kal,y_kal,z_kal
0.068,0.4709403482358626,0.5861241940676668,0.43141370943632734,1,0.9064,0.4709403482358626,0.5861241940676668,0.43141370943632734
0.131,0.47068025739947017,0.5872409618979872,0.43090637579959334,1,0.9272,0.4706804807907702,0.5872400027091864,0.4309068115470508
0.2008,0.14141643488943084,1.436561574716239,0.43270603108695893,1,0.2809,0.16882684208008203,1.3658576809437226,0.4325562505663459
0.2686,0.4706149047538159,0.5876477542747807,0.43098758101186263,1,0.9292,0.1950978306398106,1.2981136360021917,0.43241969612627057
0.3313,0.4712872159433499,0.5865401246478696,0.4315395078921559,1,0.927,0.2200007131859178,1.2339539234314034,0.4323403331044494
0.3996,0.47243522144757155,0.5865409280016664,0.43176789102712504,1,0.9184,0.24372267596935046,1.173114749386403,0.43228653915310944
0.4641,0.4716010717457048,0.5866943641961395,0.43144687818941574,1,0.8819,0.26718449573579484,1.1127382958054073,0.4322000896495135
0.5347,0.47108284040724074,0.588152127457927,0.43075892492032597,1,0.8633,0.28917029821605555,1.056173599805795,0.4320446927867852
0.5977,0.14158953967050453,1.4360352671849501,0.43284719909998204,1,0.2382,0.1985167041878623,1.2895090679307528,0.43253764378011644
0.6648,0.4708610986398976,0.5870476833308578,0.43113601070691776,1,0.8669,0.21385664620856443,1.2499425590138884,0.4324586960561494
0.7333,0.14161280426724612,1.4359512307951428,0.4327490804287631,1,0.2399,0.17945381197448085,1.3385207039385516,0.4325969783673713
0.7996,0.4720252963962422,0.5871839748614516,0.4312743602648682,1,0.9043,0.19225277135333307,1.305652400678228,0.43253911854073396
0.863,0.47228341557544123,0.586958059241061,0.431400889779934,1,1.0155,0.204154159133981,1.2751076719862606,0.43249074347127325
0.9312,0.1425686485003373,1.4363053110390664,0.43201882224295496,1,0.2623,0.1771169212863155,1.3458765730266282,0.43228356086672676
1.0028,0.4722858779139627,0.5862582109131187,0.431574017629339,1,0.911,0.19075175923212023,1.3107872689669844,0.43225078469958556
1.0507,0.1414343879862927,1.4346623653086747,0.4323163436942277,1,0.246,0.1688509377082163,1.3657976295702028,0.4322798980891413
1.1097,0.4714271258392673,0.5872643087297225,0.43099924881791224,1,0.9379,0.18102308501588527,1.3344785019027783,0.43222837965447813
1.1607,0.4704991416595573,0.586568001782963,0.43126687798907665,1,0.8927,0.19662227974139868,1.2941753360247579,0.43217656655504116
1.2296,0.14284690857477145,1.436905346624125,0.4321416838829669,1,0.3326,0.17921570241424367,1.3403756859713032,0.4321652753651216
1.2991,0.47074909867488046,0.5848383912268812,0.43171392458179825,1,0.9067,0.1946031655061416,1.300497571194228,0.4321414525591962
1.4371,0.4715648781652763,0.5863593383078749,0.431300188228535,1,0.8609,0.21321154904632272,1.252516361045475,0.43208493005587506
1.4974,0.4736795660536186,0.5877028800613212,0.4310327538280243,1,0.8983,0.23118269941873107,1.2066471477207703,0.43201233451256715
1.5624,0.47166778298855977,0.5861130757486268,0.4314075675114655,1,0.8846,0.24980206219110437,1.1586027999086015,0.43196551091744384
1.6319,0.4701745420231583,0.5864848695820798,0.430828595593979,1,0.7943,0.2719787502995252,1.1010290007130041,0.43185110000482274
1.6957,0.47167832049142033,0.586880036808291,0.43117934438564903,1,0.8937,0.2888042807542038,1.057709783540391,0.4317945017626851
1.7654,0.47212672163675906,0.5859797500249064,0.43145159361506613,1,0.9056,0.30459547368149364,1.017075478580355,0.43176496403293785
