t,x,y,z,n_markers,reproj_err,x_kal,y_kal,z_kal
0.0707,-0.025413940428974827,0.4099442290487627,0.49034392678873157,1,0.3597,-0.0265766973908983,0.4098601394830303,0.4901491482500092
0.1339,-0.024855750551437298,0.40825346117275674,0.48987649652292353,1,0.356,-0.02616957260878095,0.4094800472326458,0.49008464696941273
0.1855,-0.028369670031286532,0.40864278370955076,0.4896147051354629,1,0.3179,-0.026793131330652524,0.40924274729902,0.4899514545360531
0.2683,-0.025778453633291176,0.41103177241927746,0.49056735915623617,1,0.3495,-0.026549305115963952,0.4096726485614499,0.4900994559088427
0.3335,-0.02848718608772286,0.4102514513069222,0.4903364866456874,1,0.2993,-0.027140798527132855,0.40984931473202624,0.4901718040670275
0.4058,-0.02815541702405289,0.4083363221848666,0.4896978829503796,1,0.3677,-0.027360371342060968,0.40952188916906485,0.49006924315969913
0.4651,-0.025355080296219783,0.4083394782684081,0.4896009356745803,1,0.3334,-0.02683699264933875,0.4092132812626317,0.48994701543626623
0.5354,-0.023743040923202993,0.4078931737764575,0.4898108018646617,1,0.3399,-0.026056018328704213,0.4088800601465844,0.4899126324494063
0.595,-0.02584551094819004,0.40867192344080144,0.48985487342993633,1,0.3118,-0.025995561027873433,0.4088202836988194,0.4898960441739394
0.6684,-0.026402836384688207,0.4097518295705276,0.4903084392584069,1,0.4267,-0.02606575860262877,0.4089808440172209,0.48996712417985244
0.7351,-0.02327376878418063,0.41184998714401,0.4908577869579051,1,0.3667,-0.025408718807308054,0.40965604032356673,0.4901767241166161
0.8042,-0.026361997507216774,0.4098454211046291,0.4898702816263353,1,0.2818,-0.025736660810720347,0.40972119011948194,0.49007130335750027
0.8646,-0.025160854513288842,0.40858961837942087,0.48978573281388676,1,0.3169,-0.025580646460611946,0.40941459147612885,0.4899939282003151
0.9323,-0.02502412673402497,0.40677592097056847,0.4896525853739966,1,0.4085,-0.025479175968344207,0.40893348149504405,0.4899316910091359
0.9996,-0.027133995047244595,0.40911187595334464,0.48994019906145353,1,0.3292,-0.02592866979341991,0.4089819382770913,0.48993400202731846
