t,x,y,z,n_markers,reproj_err,x_kal,y_kal,z_kal
0.269,0.02834449461278608,0.998386308558884,0.3053437705922413,1,1.4519,0.02834449461278608,0.998386308558884,0.3053437705922413
0.3375,-0.022134990400736285,1.0212979615032625,0.30469278997613136,1,2.1664,-0.0218991799621104,1.021190931747927,0.30469583097436226
0.4055,-0.05082612514888069,0.995908054908592,0.2999553985978707,1,1.7232,-0.039599539897895455,1.005720372469064,0.30179516660163325
0.4713,-0.06673399950666334,1.0128585859877826,0.2973919356479364,1,0.3112,-0.06536765265712571,1.0124991435779003,0.2976136589041986
0.5382,-0.09031091793176427,1.024982371850747,0.2872997587576893,1,1.0056,-0.06765275310721953,1.013642756101394,0.2966687826978354
0.607,-0.08400211612370148,1.0045624069631953,0.2842180682301448,1,1.0576,-0.06902703648773448,1.0128794864316633,0.2956222092043461
0.869,0.056343061260137633,0.9780349890797962,0.28955950934021674,1,2.1272,-0.066209762281315,1.0120964727355066,0.2954859702745271
1.0708,0.055923366956733916,0.9822567724660703,0.2900741774295887,1,2.9454,-0.06465748254271118,1.0117172180449634,0.2954171878202076
1.1406,0.06164195371324451,0.9909294864900391,0.29109988082743843,1,2.8364,-0.06279726894422909,1.0114110439077986,0.29535359994194904
1.2068,0.06346188292069685,0.9874115815809895,0.2923297809441013,1,2.2638,-0.05970917271606536,1.0108240555747179,0.2952796421820245
1.2698,0.06573135633753291,0.988216287776784,0.2923457115386577,1,2.4286,-0.0568952566372867,1.0103169119761388,0.29521382745154084
1.3228,0.06596983975404212,0.9893330804965843,0.2921612406779201,1,2.4131,-0.05396411272192704,1.0098163090240495,0.29514100309856833
1.3553,0.06489741909830751,0.9907730335670242,0.2931882560547499,1,2.3602,-0.05086940186187594,1.0093204931745876,0.2950901608505265
1.4009,0.06070610129533424,0.9851018316217439,0.2940235222588218,1,1.8767,-0.046164945572698644,1.0082993403997065,0.2950451872273831
