t,x,y,z,n_markers,reproj_err,x_kal,y_kal,z_kal
0.0322,0.11867741443772781,1.4393967532008207,0.4560559455497653,1,0.509,0.11867741443772781,1.4393967532008207,0.4560559455497653
0.0652,0.1181807280089637,1.4417016600306831,0.4566975893671144,1,0.4958,0.11818085004957275,1.4417010936930161,0.45669743170908766
0.1016,0.11860634448614191,1.4407786980401969,0.4563527743174361,1,0.4935,0.11839878206035848,1.4412286561660304,0.4565209032472811
0.1354,0.1174441775742596,1.4409766124527257,0.4567987573710505,1,0.478,0.1180447001141881,1.4411351680986406,0.45662396491347734
0.1688,0.11656420742987425,1.4403212082182848,0.45714372503045364,1,0.4589,0.11758523587295623,1.4408825593132117,0.45678527012646447
0.2027,0.1182010383097508,1.439970990837997,0.45644945022578953,1,0.4078,0.11777725207575146,1.4405983189355516,0.4566805565717629
0.2366,0.12073738825127758,1.4387810108047427,0.45503523708596527,1,0.3547,0.11875295652474971,1.4399993074295638,0.4561382350543986
0.2697,0.11887529384472961,1.437872678271245,0.4555213745323561,1,0.4679,0.11877624106359157,1.4395945447680372,0.45602082760434276
0.3029,0.11988832675764295,1.4381242333333346,0.45503592447062496,1,0.4307,0.11901850531990214,1.43927424219767,0.45580626965570226
0.3383,0.11954465180375826,1.4389822359973605,0.4554252431377098,1,0.429,0.11913163383761777,1.4392114569665255,0.45572434386789706
0.4173,0.11895642389406079,1.4381380821425034,0.4554629700393606,1,0.487,0.1191013390861325,1.4390258646257934,0.45567915091240885
0.484,0.11791539709074624,1.4389068672166958,0.45618382766622256,1,0.5064,0.11890456974687466,1.4390061207920708,0.455762885961655
0.5562,0.11987368497617301,1.4383317343111743,0.45509832421527563,1,0.4615,0.11909636212135916,1.4388726565965024,0.45563136612636984
0.623,0.11822054734566768,1.438737126079268,0.45602382650537615,1,0.4507,0.11891747043319503,1.4388449734793654,0.45571152908055446
0.689,0.11845742264258138,1.4402690782451841,0.45610916420285486,1,0.4344,0.11881886292355935,1.4391502187762297,0.4557967589413509
0.7584,0.11827394949188223,1.4391931901766122,0.4560283999929087,1,0.507,0.11872945000023784,1.4391572698017763,0.45583476810459966
0.825,0.11859637302059224,1.438769123068457,0.4557183387315963,1,0.4882,0.1187055481804351,1.4390875551651687,0.4558138563443487
0.8893,0.11884213152788525,1.4380548593800102,0.4553873725604491,1,0.6052,0.1187227593475117,1.4389574229050546,0.4557601141876569
0.9579,0.1211036672843879,1.4381600440599662,0.45450606214564954,1,0.4839,0.11918333812686899,1.4388031726001738,0.4555175219606277
1.0222,0.12018725687378416,1.4385632867232718,0.455407563401539,1,0.46,0.11939129279602909,1.4387534819371388,0.45549474482269015
1.0931,0.11920856083713105,1.4388896048202713,0.4558389027398652,1,0.5484,0.11936355080436063,1.4387741478344045,0.4555469941726587
1.1559,0.11863436732219437,1.4372445691195563,0.4553354813044238,1,0.519,0.11923868968494218,1.4385122317114458,0.45551077594481193
1.2088,0.1198713394503638,1.4389930422047592,0.45555045953856205,1,0.5125,0.11935008484009359,1.4385968914433045,0.4555177633181176
1.273,0.11946829382830731,1.4376205045449022,0.45524913815108187,1,0.4416,0.11937654811509582,1.4383783091223536,0.4554576265909938
1.3069,0.1205107679675355,1.4384533865030151,0.45488012729615473,1,0.4768,0.11959315674386713,1.4383926470908188,0.45534733815784534
1.3446,0.1209287322228674,1.4388185489132714,0.4547333351797039,1,0.4649,0.11985783518787868,1.4384770504311324,0.45522565776206975
1.4084,0.12046118560393623,1.4392508584925157,0.45506013357547664,1,0.484,0.11996884559237501,1.4386194233269,0.4551952029775555
1.4735,0.12010921521588967,1.4397492656311015,0.45546827471106366,1,0.4422,0.11999882746124593,1.4388607489282745,0.455253528993551
1.5086,0.11857610308217968,1.439944271742981,0.4561765376775031,1,0.4439,0.11970279735715388,1.4390862004467437,0.4554455819033124
1.5769,0.11947295777151028,1.439411630246084,0.4559712103206625,1,0.4381,0.1196545472382736,1.439154517775377,0.4555559268360749
1.643,0.1195875504622386,1.4392907528725492,0.45588309665179577,1,0.4703,0.11964213616648528,1.4391797551624748,0.45561653464902035
1.7085,0.11860135861042882,1.438514687655165,0.4557146623856202,1,0.4844,0.11945640898146744,1.4390610735909317,0.4556340455841715
1.7796,0.11849488662334973,1.4386676029930179,0.4557809427736623,1,0.487,0.11928382049703466,1.438990447574189,0.45566041289959336
1.8465,0.11824808401446481,1.4370617481530177,0.4556022984806236,1,0.4779,0.11909004181008714,1.438629602081498,0.45564954011873626
1.9112,0.11989539263770181,1.4402142410134293,0.4554541574902494,1,0.555,0.11920774881824883,1.4388612068694966,0.4556209837382653
1.9786,0.11953943982780663,1.4384817676372228,0.4555512783055229,1,0.4583,0.11927659694345831,1.4387824477864337,0.4556065151870446
